CellTypeID	CellType	CellGroup	Tool
Neutrophils.Sanders_ssGSEA	Neutrophils	Leukocyte	ssGSEA
CD8.effector.NK.cells.Davoli_ssGSEA	NK.cell	Leukocyte	ssGSEA
Natural.killer.cell.Innate_ssGSEA	NK.cell	Leukocyte	ssGSEA
NK.cell_quantiseq	NK.cell	Leukocyte	quantiseq
NK.cells_MCP	NK.cell	Leukocyte	MCP
NK.cells_xCell	NK.cell	Leukocyte	xCell
NK.cells.Danaher_ssGSEA	NK.cell	Leukocyte	ssGSEA
NK.cells.Davoli_ssGSEA	NK.cell	Leukocyte	ssGSEA
NK.cells.Sanders_ssGSEA	NK.cell	Leukocyte	ssGSEA
NKcells_EPIC-mRNA	NK.cell	Leukocyte	EPIC-mRNA
NK.cells.activated_Cibersort	NK.cell.activated	Leukocyte	Cibersort
NK.cells.activated_CIBERSORTx	NK.cell.activated	Leukocyte	CIBERSORTx
NK.cells.activated_SGL	NK.cell.activated	Leukocyte	SGL
CD56bright.natural.killer.cell.Innate_ssGSEA	NK.cell.bright	Leukocyte	ssGSEA
NK.CD56bright.cells.Sanders_ssGSEA	NK.cell.bright	Leukocyte	ssGSEA
CD56dim.natural.killer.cell.Innate_ssGSEA	NK.cell.dim	Leukocyte	ssGSEA
NK.CD56dim.cells.Danaher_ssGSEA	NK.cell.dim	Leukocyte	ssGSEA
NK.CD56dim.cells.Sanders_ssGSEA	NK.cell.dim	Leukocyte	ssGSEA
NK.cells.resting_Cibersort	NK.cell.resting	Leukocyte	Cibersort
NK.cells.resting_CIBERSORTx	NK.cell.resting	Leukocyte	CIBERSORTx
NK.cells.resting_SGL	NK.cell.resting	Leukocyte	SGL
Natural.killer.T.cell.Innate_ssGSEA	NKT.cell	Leukocyte	ssGSEA
NKT_xCell	NKT.cell	Leukocyte	xCell
Osteoblast_xCell	Osteoblast	Osteoblast cells	xCell
Pericytes_xCell	Pericytes	Stromal cells	xCell
Plasma.cells_Cibersort	Plasma.cell	Leukocyte	Cibersort
Plasma.cells_CIBERSORTx	Plasma.cell	Leukocyte	CIBERSORTx
Plasma.cells_SGL	Plasma.cell	Leukocyte	SGL
Plasma.cells_xCell	Plasma.cell	Leukocyte	xCell
Platelets_xCell	Platelets	Leukocyte	xCell
Preadipocytes_xCell	Preadipocytes	Stromal cells	xCell
Sebocytes_xCell	Sebocytes	Sebocytes cells	xCell
Skeletal.muscle_xCell	Skeletal.muscle	Stromal cells	xCell
Smooth.muscle_xCell	Smooth.muscle	Stromal cells	xCell
Activated.CD4.T.cell.Adaptive_ssGSEA	T.cell.CD4	Leukocyte	ssGSEA
CD4_Tcells_EPIC-mRNA	T.cell.CD4	Leukocyte	EPIC-mRNA
CD4..T.cells_xCell	T.cell.CD4	Leukocyte	xCell
CD4.mature.Davoli_ssGSEA	T.cell.CD4	Leukocyte	ssGSEA
T.cell.CD4._TIMER	T.cell.CD4	Leukocyte	TIMER
T.cell.CD4...non.regulatory._quantiseq	T.cell.CD4	Leukocyte	quantiseq
CD4..memory.T.cells_xCell	T.cell.CD4.memory	Leukocyte	xCell
CD4..Tcm_xCell	T.cell.CD4.central.memory	Leukocyte	xCell
CD4..Tem_xCell	T.cell.CD4.effector.memory	Leukocyte	xCell
Central.memory.CD4.T.cell.Adaptive_ssGSEA	T.cell.CD4.central.memory	Leukocyte	ssGSEA
Effector.memeory.CD4.T.cell.Adaptive_ssGSEA	T.cell.CD4.effector.memory	Leukocyte	ssGSEA
T.cells.CD4.memory.activated_Cibersort	T.cell.CD4.memory.activated	Leukocyte	Cibersort
T.cells.CD4.memory.activated_CIBERSORTx	T.cell.CD4.memory.activated	Leukocyte	CIBERSORTx
T.cells.CD4.memory.activated_SGL	T.cell.CD4.memory.activated	Leukocyte	SGL
